phase,signal,threshold,direction,n,win_rate,avg_ret,edge
대상승장,sox,3.0,상승,10,0.9,1.383,0.4
대상승장,sox,1.0,상승,35,0.886,1.423,0.386
대상승장,sox,2.0,상승,19,0.842,1.268,0.342
대상승장,usd_krw,0.5,상승,17,0.824,1.091,0.324
대상승장,nasdaq,1.0,상승,14,0.786,1.422,0.286
대상승장,nvda,3.0,상승,8,0.75,1.506,0.25
대상승장,nasdaq,1.5,상승,7,0.714,1.131,0.214
대상승장,nvda,2.0,상승,21,0.667,0.325,0.167
대상승장,usd_krw,-0.3,하락,23,0.652,0.315,0.152
대상승장,nasdaq,-1.5,하락,10,0.6,0.217,0.1
대상승장,usd_krw,-0.5,하락,17,0.588,0.265,0.088
대상승장,nasdaq,-1.0,하락,17,0.529,-0.085,0.029
대상승장,nasdaq,-2.0,하락,6,0.5,0.156,0.0
대상승장,sox,-1.5,하락,14,0.429,-0.328,-0.071
대상승장,sox,-2.5,하락,10,0.4,-0.598,-0.1
대상승장,nvda,-3.0,하락,10,0.4,-0.203,-0.1
대폭락장,nvda,2.0,상승,12,0.417,-0.018,-0.083
대폭락장,usd_krw,0.5,상승,13,0.385,-0.632,-0.115
대폭락장,sox,2.0,상승,8,0.375,-0.001,-0.125
대폭락장,nasdaq,1.0,상승,11,0.364,-0.005,-0.136
대폭락장,sox,1.0,상승,11,0.364,-0.243,-0.136
대폭락장,nvda,3.0,상승,11,0.364,-0.027,-0.136
대폭락장,sox,3.0,상승,6,0.333,0.493,-0.167
대폭락장,nasdaq,1.5,상승,10,0.3,-0.232,-0.2
대폭락장,nasdaq,2.0,상승,7,0.286,0.422,-0.214
대폭락장,nvda,-3.0,하락,9,0.222,-0.419,-0.278
대폭락장,usd_krw,-0.5,하락,5,0.2,-0.962,-0.3
대폭락장,nasdaq,-2.0,하락,6,0.167,-0.828,-0.333
대폭락장,usd_krw,-0.3,하락,6,0.167,-0.92,-0.333
대폭락장,nasdaq,-1.0,하락,13,0.154,-1.4,-0.346
대폭락장,sox,-1.5,하락,14,0.143,-1.368,-0.357
대폭락장,nasdaq,-1.5,하락,9,0.111,-1.075,-0.389
대폭락장,sox,-2.5,하락,10,0.1,-1.758,-0.4
변동폭큰,sox,3.0,상승,21,0.667,0.622,0.167
변동폭큰,nasdaq,2.0,상승,20,0.6,0.486,0.1
변동폭큰,usd_krw,1.0,상승,12,0.583,0.371,0.083
변동폭큰,nvda,3.0,상승,39,0.564,0.182,0.064
변동폭큰,nasdaq,1.5,상승,34,0.559,0.39,0.059
변동폭큰,nasdaq,1.0,상승,58,0.552,0.25,0.052
변동폭큰,sox,2.0,상승,40,0.55,0.307,0.05
변동폭큰,nvda,5.0,상승,20,0.55,0.335,0.05
변동폭큰,usd_krw,0.5,상승,44,0.545,0.205,0.045
변동폭큰,sox,1.0,상승,68,0.544,0.219,0.044
변동폭큰,nvda,2.0,상승,53,0.528,0.12,0.028
변동폭큰,usd_krw,-0.5,하락,31,0.516,-0.0,0.016
변동폭큰,usd_krw,-0.3,하락,62,0.452,-0.081,-0.048
변동폭큰,nvda,-3.0,하락,45,0.356,-0.326,-0.144
변동폭큰,nasdaq,-1.0,하락,59,0.339,-0.429,-0.161
변동폭큰,nasdaq,-1.5,하락,41,0.293,-0.533,-0.207
변동폭큰,sox,-1.5,하락,56,0.268,-0.566,-0.232
변동폭큰,sox,-2.5,하락,31,0.226,-0.631,-0.274
변동폭큰,nasdaq,-2.0,하락,27,0.185,-0.739,-0.315
상승장,nvda,5.0,상승,16,0.875,0.764,0.375
상승장,nasdaq,1.5,상승,23,0.87,0.552,0.37
상승장,nasdaq,2.0,상승,15,0.867,0.547,0.367
상승장,sox,3.0,상승,20,0.8,0.866,0.3
상승장,nasdaq,1.0,상승,47,0.766,0.613,0.266
상승장,sox,1.0,상승,85,0.718,0.539,0.218
상승장,sox,2.0,상승,42,0.69,0.62,0.19
상승장,usd_krw,0.5,상승,52,0.654,0.173,0.154
상승장,nvda,3.0,상승,37,0.649,0.39,0.149
상승장,nvda,2.0,상승,64,0.625,0.45,0.125
상승장,usd_krw,1.0,상승,13,0.615,-0.144,0.115
상승장,usd_krw,-0.5,하락,54,0.574,0.101,0.074
상승장,usd_krw,-0.3,하락,88,0.568,0.165,0.068
상승장,sox,-1.5,하락,57,0.509,0.387,0.009
상승장,nvda,-3.0,하락,33,0.485,0.229,-0.015
상승장,nasdaq,-1.5,하락,28,0.464,0.17,-0.036
상승장,nasdaq,-1.0,하락,42,0.452,0.188,-0.048
상승장,sox,-2.5,하락,23,0.435,0.111,-0.065
상승장,nasdaq,-2.0,하락,13,0.385,0.106,-0.115
일반장,nasdaq,1.5,상승,35,0.657,0.234,0.157
일반장,nasdaq,1.0,상승,73,0.63,0.266,0.13
일반장,nvda,3.0,상승,61,0.623,0.278,0.123
일반장,nasdaq,2.0,상승,13,0.615,0.09,0.115
일반장,usd_krw,-0.5,하락,52,0.596,0.179,0.096
일반장,sox,1.0,상승,111,0.595,0.18,0.095
일반장,sox,2.0,상승,48,0.583,0.132,0.083
일반장,nvda,2.0,상승,96,0.573,0.191,0.073
일반장,nasdaq,-2.0,하락,7,0.571,-0.014,0.071
일반장,nvda,5.0,상승,14,0.571,-0.004,0.071
일반장,usd_krw,-0.3,하락,98,0.541,0.077,0.041
일반장,sox,3.0,상승,15,0.533,-0.025,0.033
일반장,usd_krw,0.5,상승,66,0.53,0.134,0.03
일반장,usd_krw,1.0,상승,13,0.462,-0.082,-0.038
일반장,nasdaq,-1.0,하락,45,0.356,-0.206,-0.144
일반장,sox,-1.5,하락,60,0.333,-0.219,-0.167
일반장,sox,-2.5,하락,23,0.304,-0.279,-0.196
일반장,nasdaq,-1.5,하락,18,0.278,-0.295,-0.222
일반장,nvda,-3.0,하락,30,0.267,-0.268,-0.233
하락장,nvda,5.0,상승,15,0.667,0.201,0.167
하락장,nasdaq,2.0,상승,27,0.63,0.445,0.13
하락장,sox,3.0,상승,22,0.591,0.395,0.091
하락장,nasdaq,1.5,상승,36,0.528,-0.021,0.028
하락장,sox,2.0,상승,47,0.489,-0.099,-0.011
하락장,nvda,3.0,상승,47,0.489,0.012,-0.011
하락장,nasdaq,1.0,상승,62,0.452,-0.077,-0.048
하락장,nvda,2.0,상승,69,0.449,-0.017,-0.051
하락장,sox,1.0,상승,86,0.442,-0.156,-0.058
