kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
005930,삼성전자,semi_soxx,3.0,BUY,5.0,-3.0,10,중기,229,0.5939,1.5455,353.92,13.05,-10.0
064350,현대로템,robotics,1.5,BUY,5.0,-3.0,10,중기,175,0.5543,1.715,300.12,22.0,-13.64
052690,한전기술,nasdaq_fut,2.0,BUY,5.0,-3.0,10,중기,134,0.5522,2.1703,290.82,29.91,-13.37
047810,한국항공우주,defense,-1.5,SELL_SIG,5.0,-3.0,10,중기,171,0.5614,1.6775,286.86,17.13,-13.82
000660,SK하이닉스,semi_soxx,3.0,BUY,2.0,-1.5,3,단기_보수,251,0.5657,0.9858,247.44,18.21,-12.12
000880,한화,defense,2.0,BUY,5.0,-3.0,10,중기,167,0.5509,1.4355,239.73,26.7,-15.18
047050,포스코인터내셔널,nasdaq,2.0,BUY,2.0,-1.5,3,단기_보수,268,0.5597,0.8834,236.75,14.95,-14.86
088980,맥쿼리인프라,us_10y,1.0,BUY,5.0,-3.0,10,중기,341,0.5836,0.6712,228.9,9.43,-8.72
006800,미래에셋증권,clean_energy,3.0,BUY,5.0,-3.0,10,중기,129,0.5736,1.7386,224.28,16.85,-14.97
079550,LIG넥스원,battery,2.5,BUY,3.0,-2.0,5,단기_표준,149,0.5638,1.4952,222.78,30.32,-16.53
402340,SK스퀘어,amd,-1.0,SELL_SIG,5.0,-3.0,10,중기,131,0.5573,1.6925,221.72,21.77,-11.34
024110,기업은행,semi_soxx,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,338,0.5533,0.6324,213.76,16.72,-14.78
012450,한화에어로스페이스,robotics,1.5,BUY,2.0,-1.5,3,단기_보수,222,0.5631,0.9579,212.66,19.93,-14.91
000100,유한양행,dow,-2.0,SELL_SIG,5.0,-3.0,10,중기,141,0.5816,1.494,210.65,17.83,-14.35
138040,메리츠금융지주,clean_energy,2.0,BUY,5.0,-3.0,10,중기,173,0.5549,1.2135,209.93,11.11,-9.4
034020,두산에너빌리티,defense,2.5,BUY,3.0,-2.0,5,단기_표준,111,0.5766,1.8394,204.18,28.08,-15.0
000720,현대건설,robotics,2.0,BUY,5.0,-3.0,10,중기,85,0.5765,2.379,202.22,23.11,-10.56
003850,보령,battery,3.0,BUY,3.0,-2.0,5,단기_표준,120,0.5917,1.6777,201.32,29.97,-13.91
028050,삼성엔지니어링,energy_xle,-3.0,SELL_SIG,2.0,-1.5,3,단기_보수,191,0.555,1.0508,200.71,20.8,-15.55
033780,KT&G,semi_soxx,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,323,0.5635,0.6168,199.24,14.71,-9.15
005380,현대차,robotics,1.5,BUY,3.0,-2.0,5,단기_표준,193,0.5648,1.0202,196.91,21.18,-9.33
241560,두산밥캣,robotics,1.0,BUY,2.0,-1.5,3,단기_보수,280,0.55,0.6951,194.63,18.05,-17.29
042700,한미반도체,usd_krw,-2.0,SELL_SIG,5.0,-3.0,10,중기,74,0.5541,2.5866,191.41,20.21,-8.01
011790,SKC,nasdaq_fut,2.5,BUY,3.0,-2.0,5,단기_표준,201,0.5572,0.9145,183.81,14.97,-19.16
002790,아모레G,usd_krw,-1.0,SELL_SIG,2.0,-1.5,3,단기_보수,291,0.5567,0.6138,178.61,14.74,-14.94
267250,현대중공업,clean_energy,-1.5,SELL_SIG,5.0,-3.0,10,중기,136,0.5515,1.3121,178.45,17.6,-10.6
069500,KODEX 200,nasdaq,1.0,BUY,3.0,-2.0,5,단기_표준,368,0.6005,0.4718,173.62,5.7,-6.39
112610,씨에스윈드,robotics,2.0,BUY,5.0,-3.0,10,중기,98,0.5612,1.7144,168.01,18.61,-14.16
316140,우리금융지주,vix,2.0,BUY,5.0,-3.0,10,중기,156,0.5513,1.0707,167.04,13.14,-6.55
006400,삼성SDI,dow,2.0,BUY,3.0,-2.0,5,단기_표준,158,0.5823,1.0559,166.83,14.29,-17.38
247540,에코프로비엠,defense,1.5,BUY,2.0,-1.5,3,단기_보수,130,0.5769,1.2816,166.61,17.5,-14.08
207940,삼성바이오로직스,energy_xle,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,92,0.5652,1.8072,166.27,17.79,-5.88
180640,한진칼,nasdaq,2.5,BUY,5.0,-3.0,10,중기,51,0.5882,3.1828,162.32,29.94,-12.5
352820,하이브,gold,1.0,BUY,5.0,-3.0,10,중기,103,0.5631,1.5671,161.41,11.27,-8.79
036570,엔씨소프트,battery,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,178,0.5562,0.8875,157.97,13.46,-9.03
005490,POSCO홀딩스,nasdaq_fut,2.0,BUY,2.0,-1.5,3,단기_보수,313,0.5527,0.5041,157.78,14.96,-10.56
021240,코웨이,sp500_fut,3.0,BUY,5.0,-3.0,10,중기,65,0.5846,2.4245,157.6,14.07,-8.3
071050,한국금융지주,usd_krw,-2.0,SELL_SIG,5.0,-3.0,10,중기,77,0.5714,2.0249,155.92,15.0,-10.82
383220,F&F,robotics,1.0,BUY,3.0,-2.0,5,단기_표준,137,0.5547,1.1047,151.34,25.0,-6.53
259960,크래프톤,defense,1.0,BUY,3.0,-2.0,5,단기_표준,109,0.6055,1.3836,150.81,16.71,-8.41
034730,SK,battery,2.0,BUY,3.0,-2.0,5,단기_표준,254,0.5551,0.5799,147.29,10.77,-13.71
298050,효성첨단소재,sp500,1.5,BUY,5.0,-3.0,10,중기,77,0.5714,1.8838,145.05,12.17,-14.44
007070,GS리테일,gold,2.0,BUY,5.0,-3.0,10,중기,68,0.6324,2.1303,144.86,16.99,-11.04
011070,LG이노텍,gold,2.0,BUY,3.0,-2.0,5,단기_표준,115,0.5565,1.2361,142.15,12.11,-8.29
006360,GS건설,dow,2.0,BUY,3.0,-2.0,5,단기_표준,164,0.561,0.86,141.04,14.84,-14.91
005940,NH투자증권,nasdaq,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,151,0.5563,0.9281,140.15,17.67,-22.47
009150,삼성전기,battery,3.0,BUY,3.0,-2.0,5,단기_표준,121,0.5868,1.1551,139.77,11.07,-11.56
003670,포스코퓨처엠,gold,-2.5,SELL_SIG,5.0,-3.0,10,중기,90,0.5667,1.5517,139.65,18.63,-12.5
