kr_code,kr_name,indicator,threshold,direction,tp,sl,max_hold,label,n,win_rate,avg_ret,edge,max_win,max_loss
064350,현대로템,tech_xlk,2.0,BUY,5.0,-3.0,10,중기,105,0.581,2.3945,251.43,22.31,-13.24
064350,현대로템,nasdaq_fut,2.5,BUY,5.0,-3.0,10,중기,63,0.619,3.4003,214.22,29.93,-13.24
012450,한화에어로스페이스,robotics,2.0,BUY,5.0,-3.0,10,중기,93,0.5806,2.2022,204.81,19.93,-11.13
064350,현대로템,robotics,2.0,BUY,5.0,-3.0,10,중기,91,0.6044,2.2396,203.8,22.0,-13.64
000720,현대건설,robotics,2.5,BUY,5.0,-3.0,10,중기,57,0.6316,3.353,191.12,13.85,-9.06
047810,한국항공우주,gold,2.0,BUY,5.0,-3.0,10,중기,80,0.5875,2.3774,190.19,17.13,-11.83
003850,보령,usd_krw,-2.0,SELL_SIG,5.0,-3.0,10,중기,72,0.5972,2.5984,187.09,20.32,-11.39
000880,한화,robotics,2.0,BUY,5.0,-3.0,10,중기,88,0.5909,2.0923,184.13,26.7,-11.41
079550,LIG넥스원,tech_xlk,2.5,BUY,5.0,-3.0,10,중기,75,0.5867,2.4479,183.6,13.91,-8.56
064350,현대로템,robotics,2.5,BUY,5.0,-3.0,10,중기,63,0.6032,2.8283,178.18,22.0,-13.24
064350,현대로템,dow,1.5,BUY,5.0,-3.0,10,중기,85,0.5882,2.0926,177.87,22.0,-13.24
180640,한진칼,nasdaq,2.5,BUY,5.0,-3.0,10,중기,51,0.5882,3.1828,162.32,29.94,-12.5
079550,LIG넥스원,nasdaq_fut,2.5,BUY,5.0,-3.0,10,중기,63,0.6032,2.5196,158.74,13.91,-8.56
006800,미래에셋증권,foreign_net,-1.0,SELL_SIG,5.0,-3.0,10,중기,31,0.6774,5.1172,158.63,26.8,-9.89
021240,코웨이,sp500_fut,3.0,BUY,5.0,-3.0,10,중기,65,0.5846,2.4245,157.6,14.07,-8.3
079550,LIG넥스원,robotics,2.5,BUY,5.0,-3.0,10,중기,62,0.5806,2.4985,154.9,13.91,-8.56
138040,메리츠금융지주,usd_krw,-1.5,SELL_SIG,5.0,-3.0,10,중기,65,0.6462,2.3357,151.82,11.72,-5.51
047810,한국항공우주,robotics,2.5,BUY,5.0,-3.0,10,중기,62,0.5968,2.4237,150.27,15.98,-10.53
112610,씨에스윈드,robotics,2.5,BUY,5.0,-3.0,10,중기,64,0.5938,2.2862,146.32,18.61,-14.16
034020,두산에너빌리티,robotics,2.5,BUY,5.0,-3.0,10,중기,59,0.6102,2.4663,145.51,13.15,-10.34
007070,GS리테일,gold,2.0,BUY,5.0,-3.0,10,중기,68,0.6324,2.1303,144.86,16.99,-11.04
079550,LIG넥스원,robotics,2.5,BUY,3.0,-2.0,5,단기_표준,67,0.5821,2.1574,144.55,14.51,-7.69
006800,미래에셋증권,foreign_net,-1.0,SELL_SIG,3.0,-2.0,5,단기_표준,35,0.6571,4.121,144.23,24.72,-9.23
006800,미래에셋증권,foreign_net,-1.5,SELL_SIG,3.0,-2.0,5,단기_표준,32,0.6562,4.373,139.94,24.72,-9.23
402340,SK스퀘어,institution_net,-1.5,SELL_SIG,2.0,-1.5,3,단기_보수,40,0.75,3.3372,133.49,11.64,-8.39
402340,SK스퀘어,institution_net,-2.0,SELL_SIG,2.0,-1.5,3,단기_보수,40,0.75,3.3372,133.49,11.64,-8.39
003850,보령,usd_krw,-2.5,SELL_SIG,5.0,-3.0,10,중기,53,0.6415,2.5058,132.81,20.32,-11.39
006800,미래에셋증권,institution_net,1.0,BUY,5.0,-3.0,10,중기,34,0.6176,3.8844,132.07,23.58,-9.65
402340,SK스퀘어,institution_net,-2.5,SELL_SIG,2.0,-1.5,3,단기_보수,39,0.7436,3.3666,131.3,11.64,-8.39
402340,SK스퀘어,institution_net,-3.0,SELL_SIG,2.0,-1.5,3,단기_보수,39,0.7436,3.3666,131.3,11.64,-8.39
052690,한전기술,sp500,-2.5,SELL_SIG,5.0,-3.0,10,중기,53,0.6226,2.4693,130.87,24.9,-7.82
064350,현대로템,robotics,3.0,BUY,5.0,-3.0,10,중기,37,0.6486,3.5239,130.38,22.31,-13.24
402340,SK스퀘어,institution_net,-3.0,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.7568,3.4718,128.46,11.64,-8.39
402340,SK스퀘어,institution_net,-2.5,SELL_SIG,3.0,-2.0,5,단기_표준,37,0.7568,3.4718,128.46,11.64,-8.39
015760,한국전력,usd_krw,-2.5,SELL_SIG,5.0,-3.0,10,중기,55,0.6,2.3273,128.0,14.82,-5.19
052690,한전기술,tech_xlk,-3.0,SELL_SIG,5.0,-3.0,10,중기,59,0.5932,2.1393,126.22,24.9,-12.85
