Date,Open,High,Low,Close,Volume
2000-01-04,-219577.7542475728,-235134.88258495144,-215132.86043689318,-228912.03125,441709
2000-01-05,-214688.4034090909,-221800.2345779221,-202242.69886363635,-205354.125,353061
2000-01-06,-208910.05386700912,-211576.99072488584,-192463.94324343608,-194686.390625,310909
2000-01-07,-188463.52736175116,-199131.27419354836,-184907.61175115206,-192908.421875,499628
2000-01-10,-195575.33139534883,-198242.26773255813,-191130.4375,-191130.4375,382932
2000-01-11,-195575.3293161435,-207132.05332118834,-194686.35054652466,-198242.265625,536613
2000-01-12,-195575.31526548672,-206243.05973451328,-193797.3578539823,-200909.1875,329356
2000-01-13,-204465.1369680851,-209354.52067819147,-200020.2426861702,-208910.03125,532408
2000-01-14,-215577.39806058115,-218688.8244243421,-200909.24520285087,-202687.203125,587523
2000-01-17,-210687.95839608434,-227134.06485316265,-208021.0222138554,-221355.703125,975008
2000-01-18,-222244.734375,-228467.5869375,-213799.43446875,-222244.734375,694337
2000-01-19,-222244.69068877553,-227578.56326530615,-217799.796875,-217799.796875,634599
2000-01-20,-216466.39890046295,-240024.34375,-212021.50364583335,-240024.34375,1155922
2000-01-21,-235579.41171287594,-252470.01104323307,-234690.43280075188,-236468.390625,1487560
2000-01-24,-243580.2599537037,-247580.66568287037,-238246.38564814816,-240024.34375,582556
2000-01-25,-235579.4045608108,-238246.3412162162,-229356.55236486485,-230245.53125,497451
2000-01-26,-232468.00059073724,-236468.4059546314,-229356.57419659736,-235134.9375,433723
2000-01-27,-235579.37830528847,-238246.31466346153,-226689.59044471153,-231134.484375,428171
2000-01-28,-231134.5588898917,-248914.1403429603,-229356.60074458484,-246247.203125,803937
2000-01-31,-240468.78453480115,-242691.23171164774,-233801.44300426138,-234690.421875,612623
2000-02-01,-231134.47831632654,-233801.41460459185,-217799.796875,-217799.796875,929803
2000-02-02,-217355.3849372385,-217799.87447698746,-206243.14644351465,-212466.0,769984
2000-02-03,-209799.05667028198,-214243.95193872016,-202242.7347139371,-204909.671875,756656
2000-02-04,-204909.671875,-204909.671875,-204909.671875,-204909.671875,0
2000-02-07,-201353.71457201085,-210243.50329483693,-198242.28851902173,-204465.140625,640018
2000-02-08,-210688.0159198113,-215577.40025550313,-208021.07900943395,-212021.484375,541880
2000-02-09,-214243.8826121795,-216021.84014423078,-206243.07371794872,-208021.03125,324604
2000-02-10,-204465.11064914163,-212021.42995574034,-202687.15316523603,-207132.046875,405709
2000-02-11,-209354.50024523542,-211132.45778447308,-196464.3080857623,-198242.265625,381418
2000-02-14,-191130.4511812201,-194241.87713068182,-184907.59928229667,-185796.578125,436423
2000-02-15,-189352.54171545667,-192908.45799180327,-183129.68823185013,-189797.03125,405761
2000-02-16,-189796.98291716506,-191130.4511812201,-176906.7896979665,-185796.578125,452685
2000-02-17,-177795.7974137931,-182240.69234913794,-176017.8394396552,-180462.734375,507389
2000-02-18,-179573.75538793104,-185352.1188038793,-178240.2869073276,-180462.734375,498342
2000-02-21,-175128.7965389785,-176017.7752016129,-164905.54191868278,-165350.03125,447937
2000-02-22,-162683.16026785714,-164461.11830357142,-153348.88058035716,-155571.328125,546818
2000-02-23,-163572.07392473117,-175573.2858702957,-156904.7339549731,-165350.03125,548566
2000-02-24,-156460.26062322946,-162238.62252124646,-154682.3031161473,-156904.75,278380
2000-02-25,-156904.78635475851,-161349.68115234375,-152015.40207741476,-156460.296875,298333
2000-02-28,-149348.5,-152459.9270833333,-138680.75,-138680.75,344637
2000-02-29,-150237.41524092178,-159127.203125,-144903.54251047486,-159127.203125,584423
2000-03-01,-159127.203125,-159127.203125,-159127.203125,-159127.203125,0
2000-03-02,-182685.1875,-182685.1875,-182685.1875,-182685.1875,122128
2000-03-03,-209799.109375,-209799.109375,-194241.97202727754,-209799.109375,1321446
2000-03-06,-205354.1224662162,-208465.54856418917,-194686.3758445946,-197353.3125,532428
2000-03-07,-195575.3452115813,-204465.13363028952,-191130.45100222717,-199575.75,318175
2000-03-08,-191130.49654284163,-207576.6090360629,-191130.49654284163,-204909.671875,409675
2000-03-09,-205354.12333333335,-208910.0388888889,-200020.25,-200020.25,297304
2000-03-10,-204465.15735815602,-206243.11524822694,-184018.64162234042,-188019.046875,271418
