Date,Open,High,Low,Close,Volume
2000-01-04,73759.03047975352,78988.21547645246,71006.82784991196,78162.5546875,971800
2000-01-05,74309.45756688963,85868.70652173914,74309.45756688963,82290.84375,2885100
2000-01-06,82841.28314230104,83942.16398140138,77336.8789467993,79538.640625,659800
2000-01-07,79538.6703125,81189.9921875,78713.00937500001,79813.890625,511600
2000-01-10,80364.32965472028,80914.77026879371,77612.12658435314,78713.0078125,412700
2000-01-11,79263.42567567567,83116.50886824324,78988.20544763513,81465.1875,825400
2000-01-12,80639.53754783164,83116.51992984694,79263.4362244898,80914.7578125,526200
2000-01-13,82566.08895051194,82566.08895051194,80089.10628199659,80639.546875,554500
2000-01-14,80089.109375,81740.43121778351,79813.88906786942,80089.109375,413500
2000-01-17,80364.28838087249,82015.609375,79538.62788380873,82015.609375,289700
2000-01-18,81465.21091065292,82015.6515249141,77612.12661082475,80089.109375,296200
2000-01-19,78713.00260416666,78713.00260416666,72658.15625,72658.15625,374800
2000-01-20,72658.14,75685.5625,70456.37818181817,75685.5625,258200
2000-01-21,75135.1453125,75135.1453125,70731.6203125,71557.28125,261300
2000-01-24,71282.0390625,73208.58065878379,71006.81883445945,71282.0390625,217600
2000-01-25,69905.93602941177,71832.47757352941,67979.39448529412,70181.15625,243700
2000-01-26,71557.28125,71832.50156250001,70181.1796875,71557.28125,186200
2000-01-27,69905.94706879844,71557.26865310076,69355.50654069766,71006.828125,211800
2000-01-28,71557.27509469696,73208.5968276515,70456.39393939394,72658.15625,213700
2000-01-31,71557.25681390977,74584.67921757519,70181.15572133458,73208.578125,265600
2000-02-01,73483.80088682432,73759.02111486487,71006.81883445945,71282.0390625,216800
2000-02-02,71282.0609375,72658.1625,71006.840625,71557.28125,184600
2000-02-03,72658.14249067164,74034.24367420709,71557.26154384328,73759.0234375,169500
2000-02-04,73759.0234375,73759.0234375,73759.0234375,73759.0234375,0
2000-02-07,72658.15935114503,73759.0405534351,71832.49844942747,72107.71875,270200
2000-02-08,71557.26865310076,72382.92944525194,70731.6078609496,71006.828125,293800
2000-02-09,71006.80611624515,72382.90700997082,70456.36575875487,70731.5859375,323700
2000-02-10,70456.38211382114,70731.60235645325,67704.1796875,67704.1796875,537400
2000-02-11,67704.1796875,69630.7213859248,64951.97726117886,67704.1796875,1213800
2000-02-14,64951.97279829545,66878.51436434659,59172.34810014204,60548.44921875,818400
2000-02-15,59447.581412825646,60548.4625501002,54493.61629509018,54933.96875,975000
2000-02-16,55319.2828125,56420.1640625,53667.9609375,55044.0625,883300
