Date,Open,High,Low,Close,Volume
2000-01-04,35809.803214905754,38825.36559089782,35809.803214905754,37996.0859375,511900
2000-01-05,36940.63256578948,37619.133980263156,35432.851644736846,35809.796875,388100
2000-01-06,35885.18942587209,36525.99637990552,32341.9039153343,32417.29296875,624000
2000-01-07,32417.28868140244,32756.539376905486,30683.340682164635,30909.5078125,542800
2000-01-10,32417.29041466346,32417.29041466346,31060.287560096152,31361.84375,737500
2000-01-11,31738.79688433393,32417.29848043608,31324.157020049282,31550.32421875,535600
2000-01-12,31286.45244798161,31286.45244798161,29778.671607115026,30231.005859375,446100
2000-01-13,30231.014062500002,31964.9625,29854.068750000002,31663.40625,594700
2000-01-14,32040.333574351014,34226.61515942438,31663.388473476298,33397.3359375,816000
2000-01-17,34151.233515625005,34226.62255208333,32492.674713541666,33925.06640625,804700
2000-01-18,33849.67005854966,33849.67005854966,32869.612796275396,33397.3359375,541200
2000-01-19,33171.179887820515,33171.179887820515,32040.34420982663,32341.900390625,569300
2000-01-20,32304.200882523146,36488.29224537037,31701.088614004628,34603.56640625,713800
2000-01-21,34528.17737268518,36111.34707754629,33698.89800347222,34603.56640625,666200
2000-01-24,35055.91251332623,36035.97028251599,34754.35627665245,35357.46875,458800
2000-01-25,34452.794469163906,35055.906844991725,34000.46018729305,34151.23828125,310900
2000-01-26,34000.46877642334,34565.88677159668,32945.02185209977,33435.05078125,331600
2000-01-27,32794.23536028181,34226.62724958148,32454.984649658207,33774.29296875,342000
2000-01-28,33548.12435183905,34226.625743224555,33171.17913440266,34075.84765625,288100
2000-01-31,33472.74375,34302.0234375,33208.88203125,33548.1328125,308800
2000-02-01,34528.185927242885,35432.854554157544,34377.40782275711,34452.796875,888300
2000-02-02,34678.953125,35206.67632472826,34075.84089673913,34678.953125,447000
2000-02-03,33925.078125,35131.303125,33925.078125,34302.0234375,443800
2000-02-04,34302.0234375,34302.0234375,34302.0234375,34302.0234375,0
2000-02-07,34603.56409646739,35055.89826766304,34302.00798233695,34678.953125,460900
2000-02-08,35055.905221584624,35395.15591727738,33811.98600404453,34075.84765625,377500
2000-02-09,33698.90555306993,34452.79605761289,33548.127452161345,34226.62890625,509800
2000-02-10,33887.38036829076,34226.63111725028,32568.07190011481,32831.93359375,517400
2000-02-11,32718.83523867546,33510.4199621918,31889.55600451548,32869.61328125,461500
2000-02-14,31701.09125905797,32417.287137681156,31135.673460144924,31211.0625,394800
2000-02-15,31211.062758501837,31625.70248113894,30532.561394186578,30758.728515625,244500
2000-02-16,30758.734431407946,31437.235926218415,30457.17821149218,31324.15234375,316100
2000-02-17,31324.152023603332,32040.348038583434,30758.734117040094,31964.958984375,334000
2000-02-18,31964.95442073171,32417.28868140244,30909.5078125,30909.5078125,587800
2000-02-21,30532.567092080153,30758.73425572519,29100.175055661577,29627.8984375,418900
2000-02-22,29401.722347861843,30532.557822779607,28647.83203125,28647.83203125,437000
2000-02-23,28874.007101362182,30758.73341346154,27969.33847155449,29401.73046875,654500
2000-02-24,29024.78520633013,29401.73046875,27705.476787860578,29401.73046875,488100
2000-02-25,28497.054175718582,28949.388368983957,28195.498046875,28195.498046875,316300
2000-02-28,26461.55262784091,27592.38821022727,24878.3828125,24878.3828125,753800
2000-02-29,25556.8885650171,25783.055720459728,24237.58015826843,24802.998046875,537600
2000-03-01,24802.998046875,24802.998046875,24802.998046875,24802.998046875,0
2000-03-02,24878.382066908714,27516.998346732365,24878.382066908714,27253.13671875,904900
2000-03-03,26763.113976573804,26913.89208348408,25669.97270147431,26046.91796875,484100
2000-03-06,26235.387276785714,28195.502418154763,25783.05301339286,26913.888671875,805400
2000-03-07,27517.005832248262,28421.674517144096,26876.198847113716,27140.060546875,765600
2000-03-08,26386.16770905471,27441.6144174169,26046.916981366863,27215.447265625,356700
2000-03-09,27517.0078125,27517.0078125,26009.2265625,26009.2265625,425100
2000-03-10,26763.115261501734,27290.838661024307,26536.948090277776,27140.060546875,407800
2000-03-13,26989.27915095187,26989.27915095187,25783.054384428877,26235.388671875,315500
2000-03-14,25632.274648209062,26235.386992872805,25481.49656204313,25783.052734375,233100
2000-03-15,25594.58671875,26273.088281250002,24953.779687500002,26009.2265625,327000
2000-03-16,26763.111244419644,27290.834564732144,26159.998878348215,26386.166015625,432700
2000-03-17,27441.611640625,30344.089794921874,26989.2773828125,30155.6171875,2246500
2000-03-20,30231.013656695275,30758.7370871114,28421.67618098284,29100.177734375,730500
2000-03-21,28723.223635430633,29024.779789083448,27969.333251298594,28120.111328125,397300
2000-03-22,28610.14541766827,30231.01004607372,28346.28373397436,29401.73046875,785300
2000-03-23,29175.559793223507,29175.559793223507,27592.389881963314,27743.16796875,400000
2000-03-24,27969.335098930027,28421.66935929008,27517.000838569973,27743.16796875,333600
2000-03-27,27969.33912037037,29514.814732142855,27743.17195767196,28497.0625,506700
2000-03-28,28497.05540535501,32040.34007215841,28497.05540535501,31588.005859375,1145700
2000-03-29,31663.40625,33397.3546875,31286.4609375,32794.2421875,1499500
2000-03-30,33548.1328125,34603.5796875,32794.2421875,32794.2421875,1162900
2000-03-31,31814.176333841464,32945.01198551829,30683.340682164635,30909.5078125,515100
2000-04-03,31663.398046874998,31964.954218749997,29778.671972656248,30155.6171875,547900
2000-04-04,29401.734375,31512.628125000003,29401.734375,31286.4609375,378200
2000-04-05,31286.4609375,31286.4609375,31286.4609375,31286.4609375,0
2000-04-06,30607.95018115942,31211.0625,30570.255661231884,31211.0625,234900
2000-04-07,31286.45427547089,33321.95852953767,31211.06522902397,33020.40234375,895300
2000-04-10,33925.07270443282,34829.74130988436,32454.986220574065,34226.62890625,983200
2000-04-11,34226.62365010799,35809.79346652268,33171.177105831535,34905.125,1038500
2000-04-12,34905.12556849504,35282.07076901874,33962.762567185775,34188.9296875,482800
2000-04-13,34188.9296875,34188.9296875,34188.9296875,34188.9296875,0
2000-04-14,33548.1328125,33548.1328125,32568.075,33171.1875,410400
2000-04-17,29778.67216082317,31286.45302972561,29100.170769817072,30909.5078125,549100
2000-04-18,33397.34625598173,33397.34625598173,31286.453038899363,32492.677734375,513400
2000-04-19,33171.181402439026,35960.57620218958,33095.792353797115,34000.4609375,1111200
2000-04-20,34339.71412162162,35659.02256756757,33925.07432432432,34867.4375,735000
2000-04-21,35357.46562999201,35583.63278753994,34377.407947284344,35395.16015625,437400
2000-04-24,35282.07147828508,35282.07147828508,33397.3454377784,33849.6796875,332100
2000-04-25,32568.06375,34528.178697916665,32568.06375,33925.06640625,254800
2000-04-26,35055.90601781032,35055.90601781032,32266.51134542541,32341.900390625,463100
2000-04-27,31663.398983828672,33397.34702341929,31135.675667431526,32341.900390625,494900
2000-04-28,32341.897678185745,35244.375674946,32341.897678185745,34905.125,601300
2000-05-01,34905.125,34905.125,34905.125,34905.125,0
2000-05-02,35055.90802040021,37091.412357068606,35055.90802040021,36262.1328125,688600
2000-05-03,36035.96188593107,36714.463260352364,35508.23859471451,36639.07421875,431800
2000-05-04,36186.742424242424,38071.46859217172,36035.96433080808,37317.578125,629000
2000-05-05,37317.578125,37317.578125,37317.578125,37317.578125,0
2000-05-08,38146.8640562996,38825.36559089782,37468.36252170139,37996.0859375,610100
