Date,Open,High,Low,Close,Volume
2000-01-04,57155.9106867284,64601.22010513118,56779.884958526236,60916.16796875,607500
2000-01-05,57907.96359454315,61668.22097081218,57907.96359454315,59261.65625,492500
2000-01-06,59412.08074629934,60164.13240131579,56479.079291735194,57155.92578125,473800
2000-01-07,55350.995,56779.892968750006,54899.764062500006,56403.8671875,294900
2000-01-10,56403.87962811271,57907.98308486238,55727.03307257536,57381.546875,321100
2000-01-11,57531.942736037236,61442.6107390097,57531.942736037236,60088.91796875,739700
2000-01-12,58660.03690944882,59412.08866469817,57155.93339895013,57306.34375,295500
2000-01-13,57155.924918831166,59036.054028003244,56027.84745332792,57907.9765625,305500
2000-01-14,57907.97743626645,58960.84975328947,56479.079291735194,57155.92578125,195500
2000-01-17,57231.11647460937,60690.55321289062,57155.911328124996,60164.1171875,399900
2000-01-18,60164.132352941175,66481.36624999999,59938.51685661764,63924.390625,1163700
2000-01-19,63548.36052666215,65954.92565903279,62194.667639703664,62495.48828125,796000
2000-01-20,62495.49248161764,64300.41645220588,54974.9759375,63924.390625,492300
2000-01-21,63924.39546130953,64450.8316592262,62420.29203869048,63172.34375,281400
2000-01-24,63623.57477678572,64676.44717261905,62495.497209821435,63172.34375,247400
2000-01-25,61668.23767468944,62796.31519312888,60540.16015625,60540.16015625,287200
2000-01-26,60540.15398586784,60916.179787022294,57231.1269357086,59036.05078125,211500
2000-01-27,57983.182718469914,59712.90152848912,57381.54139324584,58735.234375,214700
2000-01-28,59036.05265953337,61442.61786348887,58509.61652116811,60840.9765625,274000
2000-01-31,60164.123475609755,61893.84202553354,59712.89254954268,61668.2265625,283600
2000-02-01,61292.20408818494,62420.2814640411,60013.71639554795,60389.7421875,245000
2000-02-02,60164.12561199511,62570.69063647491,60164.12561199511,61442.61328125,381500
2000-02-03,62345.07516542993,62345.07516542993,60991.38233916004,61442.61328125,207400
2000-02-04,61442.61328125,61442.61328125,61442.61328125,61442.61328125,0
2000-02-07,61668.22947053676,66556.56473344516,61668.22947053676,64450.8203125,571300
2000-02-08,65428.48736508169,67007.79568079056,64450.82031250001,64450.8203125,576900
2000-02-09,64902.054713953155,70692.85217974041,64526.028904486455,66631.7734375,845500
2000-02-10,65578.90117099322,68211.08183726015,64826.849552059815,66631.7734375,446000
2000-02-11,67308.6262263808,67308.6262263808,64526.03497456395,64676.4453125,261900
2000-02-14,63247.54437026515,63247.54437026515,61141.799730113635,62044.26171875,401000
2000-02-15,62044.245849609375,62420.271582031244,59412.06572265625,60164.1171875,333600
2000-02-16,60464.943738266586,60540.1488921699,56479.0705813908,60088.91796875,347000
2000-02-17,60164.13455703884,63172.341284890776,59788.108716057344,61969.05859375,420200
2000-02-18,61969.040703125,63924.37451171875,60164.1171875,60164.1171875,482800
2000-02-21,60164.12312265332,61292.20043120307,57907.968505553814,60088.91796875,228300
2000-02-22,57983.18172686688,60615.362479707794,57907.9765625,57907.9765625,230400
2000-02-23,60164.131493506495,60239.33665787338,57907.9765625,57907.9765625,297100
2000-02-24,58284.01171875,60013.730776209675,57306.34442540322,58284.01171875,236400
2000-02-25,57757.56710526315,59111.26008429276,56930.310284745065,57155.92578125,215000
2000-02-28,55350.99255319149,56328.6595412234,52643.60704787234,53019.6328125,236300
2000-02-29,53395.66611242711,54222.92291135204,49484.997608418365,51590.7421875,370600
2000-03-01,51590.7421875,51590.7421875,51590.7421875,51590.7421875,0
2000-03-02,54523.741167396496,59036.05078125,53019.63796277867,59036.05078125,551900
2000-03-03,60164.14304123711,60164.14304123711,55802.24267074742,58359.21875,306600
2000-03-06,59412.080918560605,62420.28754734848,58359.208598484845,62044.26171875,485200
2000-03-07,60916.17829623288,60916.17829623288,59562.485445205486,60389.7421875,237100
2000-03-08,59788.09519170823,61292.198215399,58660.01792394015,60314.53125,199600
2000-03-09,60540.166297572185,60690.57664862205,57306.34375,57306.34375,421500
2000-03-10,60088.92835582387,61292.21102627841,58359.209517045456,59562.4921875,433000
