Date,Open,High,Low,Close,Volume
2000-01-04,35809.803214905754,38825.36559089782,35809.803214905754,37996.0859375,511900
2000-01-05,36940.63256578948,37619.133980263156,35432.851644736846,35809.796875,388100
2000-01-06,35885.18726380814,36525.99417923329,32341.901966751455,32417.291015625,624000
2000-01-07,32417.286633003052,32756.53730706936,30683.338743330794,30909.505859375,542800
2000-01-10,32417.29243351863,32417.29243351863,31060.289494441105,31361.845703125,737500
2000-01-11,31738.79098995669,32417.292460050776,31324.15120267697,31550.318359375,535600
2000-01-12,31286.458511923316,31286.458511923316,29778.67737881858,30231.01171875,446100
2000-01-13,30231.00846819196,31964.956584821426,29854.06322544643,31663.400390625,594700
2000-01-14,32040.341069413094,34226.62316591422,31663.395880361175,33397.34375,816000
2000-01-17,34151.2453125,34226.634375,32492.685937500002,33925.078125,804700
2000-01-18,33849.6779768623,33849.6779768623,32869.620485327316,33397.34375,541200
2000-01-19,33171.18189102564,33171.18189102564,32040.346144740677,32341.90234375,569300
2000-01-20,32304.211822576253,36488.304602396514,31701.099349809367,34603.578125,713800
2000-01-21,34528.18906590414,36111.35930691721,33698.909415849674,34603.578125,666200
2000-01-24,35055.90476745736,36035.962320095954,34754.34859741471,35357.4609375,458800
2000-01-25,34452.79840990618,35055.91085471854,34000.46407629691,34151.2421875,310900
2000-01-26,34000.46480411499,34565.882733229984,32945.01800310033,33435.046875,331600
2000-01-27,32794.23536028181,34226.62724958148,32454.984649658207,33774.29296875,342000
2000-01-28,33548.132043349004,34226.63359029314,33171.186739491146,34075.85546875,288100
2000-01-31,33472.73205758427,34302.0114554073,33208.870431004216,33548.12109375,308800
2000-02-01,34528.17026805251,35432.83848468271,34377.39223194748,34452.78125,888300
2000-02-02,34678.95703125,35206.680290421195,34075.84473505434,34678.95703125,447000
2000-02-03,33925.07039835165,35131.295123626376,33925.07039835165,34302.015625,443800
2000-02-04,34302.015625,34302.015625,34302.015625,34302.015625,0
2000-02-07,34603.567994225545,35055.902216372284,34302.011846127716,34678.95703125,460900
2000-02-08,35055.91325878042,35395.16403225248,33811.9937560495,34075.85546875,377500
2000-02-09,33698.897861026984,34452.788193488435,33548.119794534694,34226.62109375,509800
2000-02-10,33887.38440011481,34226.63518943743,32568.075774971298,32831.9375,517400
2000-02-11,32718.83912700688,33510.42394459576,31889.559794294724,32869.6171875,461500
2000-02-14,31701.099194217997,32417.295252113527,31135.681253774157,31211.0703125,394800
2000-02-15,31211.06672219669,31625.706497491574,30532.565271714153,30758.732421875,244500
2000-02-16,30758.728677797833,31437.23004569043,30457.17251429001,31324.146484375,316100
2000-02-17,31324.1539375737,32040.349996314857,30758.735996462263,31964.9609375,334000
2000-02-18,31964.952400914637,32417.286633003052,30909.505859375,30909.505859375,587800
2000-02-21,30532.56105379294,30758.728172709925,29100.169300652036,29627.892578125,418900
2000-02-22,29401.724352384867,30532.55990439967,28647.833984375,28647.833984375,437000
2000-02-23,28874.007101362182,30758.73341346154,27969.33847155449,29401.73046875,654500
2000-02-24,29024.78520633013,29401.73046875,27705.476787860578,29401.73046875,488100
2000-02-25,28497.05614973262,28949.390374331553,28195.5,28195.5,316300
2000-02-28,26461.556782670454,27592.392542613637,24878.38671875,24878.38671875,753800
2000-02-29,25556.8885650171,25783.055720459728,24237.58015826843,24802.998046875,537600
2000-03-01,24802.998046875,24802.998046875,24802.998046875,24802.998046875,0
2000-03-02,24878.3838498444,27517.00031876729,24878.3838498444,27253.138671875,904900
2000-03-03,26763.113976573804,26913.89208348408,25669.97270147431,26046.91796875,484100
2000-03-06,26235.391084558825,28195.506510416668,25783.056755514706,26913.892578125,805400
2000-03-07,27517.001871744793,28421.67042643229,26876.194978841148,27140.056640625,765600
2000-03-08,26386.16581544321,27441.61244806094,26046.9151121018,27215.4453125,356700
2000-03-09,27517.001613451084,27517.001613451084,26009.220703125,26009.220703125,425100
2000-03-10,26763.111409505207,27290.834733072916,26536.944270833334,27140.056640625,407800
2000-03-13,26989.28116020115,26989.28116020115,25783.05630387931,26235.390625,315500
2000-03-14,25632.27270650585,26235.385005482458,25481.494631761696,25783.05078125,233100
2000-03-15,25594.580952785323,26273.082362432062,24953.774065896738,26009.220703125,327000
2000-03-16,26763.111244419644,27290.834564732144,26159.998878348215,26386.166015625,432700
2000-03-17,27441.61697265625,30344.09569091797,26989.282626953125,30155.623046875,2246500
2000-03-20,30231.003511577073,30758.72676489637,28421.666643053755,29100.16796875,730500
2000-03-21,28723.227625460793,29024.783821003686,27969.337136603554,28120.115234375,397300
2000-03-22,28610.14541766827,30231.01004607372,28346.28373397436,29401.73046875,785300
2000-03-23,29175.5618471892,29175.5618471892,27592.391824473507,27743.169921875,400000
2000-03-24,27969.33706797724,28421.67136018173,27517.00277577276,27743.169921875,333600
2000-03-27,27969.331452546296,29514.806640625,27743.16435185185,28497.0546875,506700
2000-03-28,28497.064215393795,32040.349977625297,28497.064215393795,31588.015625,1145700
2000-03-29,31663.398706896554,33397.34673132184,31286.453484195405,32794.234375,1499500
2000-03-30,33548.1248204023,34603.57144396552,32794.234375,32794.234375,1162900
2000-03-31,31814.17432355183,32945.009903772865,30683.338743330794,30909.505859375,515100
2000-04-03,31663.404199218752,31964.9604296875,29778.677758789065,30155.623046875,547900
2000-04-04,29401.734375,31512.628125000003,29401.734375,31286.4609375,378200
2000-04-05,31286.4609375,31286.4609375,31286.4609375,31286.4609375,0
2000-04-06,30607.95784269324,31211.0703125,30570.263313330317,31211.0703125,234900
2000-04-07,31286.45057434361,33321.95458761416,31211.06153681507,33020.3984375,895300
2000-04-10,33925.06496076542,34829.73335971916,32454.978812465586,34226.62109375,983200
2000-04-11,34226.62748042657,35809.79747401458,33171.18081803456,34905.12890625,1038500
2000-04-12,34905.1335446527,35282.078831312014,33962.77032800441,34188.9375,482800
2000-04-13,34188.9375,34188.9375,34188.9375,34188.9375,0
2000-04-14,33548.128861860794,33548.128861860794,32568.071164772726,33171.18359375,410400
2000-04-17,29778.670279153965,31286.451052782013,29100.168931021344,30909.505859375,549100
2000-04-18,33397.35428599913,33397.35428599913,31286.460561376163,32492.685546875,513400
2000-04-19,33171.17759146341,35960.57207074557,33095.788551482816,34000.45703125,1111200
2000-04-20,34339.706427364865,35659.01457770271,33925.06672297297,34867.4296875,735000
2000-04-21,35357.473434171996,35583.64064164004,34377.41553514377,35395.16796875,437400
2000-04-24,35282.067406737195,35282.067406737195,33397.34158372773,33849.67578125,332100
2000-04-25,32568.075,34528.190625,32568.075,33925.078125,254800
2000-04-26,35055.90813483392,35055.90813483392,32266.513293997672,32341.90234375,463100
2000-04-27,31663.400895979023,33397.349040282636,31135.677547712705,32341.90234375,494900
2000-04-28,32341.901297583696,35244.37961916172,32341.901297583696,34905.12890625,601300
2000-05-01,34905.12890625,34905.12890625,34905.12890625,34905.12890625,0
2000-05-02,35055.90802040021,37091.412357068606,35055.90802040021,36262.1328125,688600
2000-05-03,36035.969569830246,36714.47108892747,35508.24616608796,36639.08203125,431800
2000-05-04,36186.742424242424,38071.46859217172,36035.96433080808,37317.578125,629000
2000-05-05,37317.578125,37317.578125,37317.578125,37317.578125,0
2000-05-08,38146.8640562996,38825.36559089782,37468.36252170139,37996.0859375,610100
