Date,Open,High,Low,Close,Volume
2000-01-04,-219577.84417475728,-235134.97888349515,-215132.94854368933,-228912.125,441709
2000-01-05,-214688.4034090909,-221800.2345779221,-202242.69886363635,-205354.125,353061
2000-01-06,-208910.08740011416,-211577.02468607307,-192463.9741367009,-194686.421875,310909
2000-01-07,-188463.52736175116,-199131.27419354836,-184907.61175115206,-192908.421875,499628
2000-01-10,-195575.36337209304,-198242.30014534885,-191130.46875,-191130.46875,382932
2000-01-11,-195575.37556053812,-207132.10229820627,-194686.3965807175,-198242.3125,536613
2000-01-12,-195575.31526548672,-206243.05973451328,-193797.3578539823,-200909.1875,329356
2000-01-13,-204465.1522606383,-209354.53633643617,-200020.25764627662,-208910.046875,532408
2000-01-14,-215577.41467927632,-218688.84128289475,-200909.26069078947,-202687.21875,587523
2000-01-17,-210687.98814006025,-227134.0969189257,-208021.0515813253,-221355.734375,975008
2000-01-18,-222244.71875,-228467.570875,-213799.4194375,-222244.71875,694337
2000-01-19,-222244.73852040817,-227578.61224489796,-217799.84375,-217799.84375,634599
2000-01-20,-216466.3425347222,-240024.28125,-212021.4484375,-240024.28125,1155922
2000-01-21,-235579.42727913533,-252470.0277255639,-234690.4483082707,-236468.40625,1487560
2000-01-24,-243580.19652777776,-247580.60121527777,-238246.3236111111,-240024.28125,582556
2000-01-25,-235579.37258687257,-238246.30888030888,-229356.52123552124,-230245.5,497451
2000-01-26,-232467.9851429584,-236468.3902410208,-229356.55895557656,-235134.921875,433723
2000-01-27,-235579.41015625,-238246.34687500002,-226689.62109375,-231134.515625,428171
2000-01-28,-231134.54422382673,-248914.12454873646,-229356.58619133575,-246247.1875,803937
2000-01-31,-240468.88059303976,-242691.32865767044,-233801.5363991477,-234690.515625,612623
2000-02-01,-231134.5280612245,-233801.46492346938,-217799.84375,-217799.84375,929803
2000-02-02,-217355.32099895398,-217799.8104079498,-206243.08577405856,-212465.9375,769984
2000-02-03,-209799.00867678958,-214243.90292841647,-202242.68844902384,-204909.625,756656
2000-02-04,-204909.625,-204909.625,-204909.625,-204909.625,0
2000-02-07,-201353.68379755435,-210243.4711616848,-198242.25822010872,-204465.109375,640018
2000-02-08,-210688.00039308178,-215577.38436844863,-208021.0636792453,-212021.46875,541880
2000-02-09,-214243.93088942306,-216021.88882211538,-206243.1201923077,-208021.078125,324604
2000-02-10,-204465.15692060086,-212021.47793723177,-202687.19903433477,-207132.09375,405709
2000-02-11,-209354.54974775785,-211132.5077073991,-196464.35454035873,-198242.3125,381418
2000-02-14,-191130.48332834928,-194241.90980113635,-184907.63038277513,-185796.609375,436423
2000-02-15,-189352.51053864168,-192908.42622950822,-183129.6580796253,-189797.0,405761
2000-02-16,-189797.01484001195,-191130.48332834928,-176906.8194527512,-185796.609375,452685
2000-02-17,-177795.7974137931,-182240.69234913794,-176017.8394396552,-180462.734375,507389
2000-02-18,-179573.75538793104,-185352.1188038793,-178240.2869073276,-180462.734375,498342
